快速问医生,481
降龙十八掌（HD）,138
满座团购-随时随地优享好生活,102
商业帝国HD,88
only-self,83
"饭饭—食神必备的个性化餐馆推荐, 美食指南, 餐厅推荐",42
91手机助手-限时免费推荐,38
非常宝贝攻略,30
KKtalk Messenger,28
酒吧百宝箱,26
经营游乐场HD,20
永恒魔塔HD,20
天之刃HD,20
用药安全,19
德州扑克英雄赛,15
QQ 2012,15
中国求生手册 - 捍卫食品安全 强壮中国人,13
降龙HD,13
Battery Doctor +,12
PPS影音,11
携程.无线-机票.酒店.旅游.火车票.点评.门票.特价.无线,11
淘打折(淘宝优惠),10
啦啦宝贝,10
鱼的做法大全,10
豆角优惠,10
一起来捡钱 免费版,9
Mew call,9
百思不得姐,8
射雕英雄传之小破孩,7
酷我音乐 2012,7
天气通,7
Mole's World,7
Japan Life,6
"流量监测仪(瓦力流量仪—实时监控提醒,上网必备)",6
优酷,6
华山论健,6
红袖添香离线看,6
开心水族箱,5
酷狗音乐,5
Ice Age Village,5
时尚,5
ĺżŤééŽĺťç,5
金山装机必备 - 每天推荐限时免费&装机必备应用,4
情爱宝典,4
导航犬2011,4
"iSafeBox - Password Protect Your Photos, Accounts, Etc",4
天朝教育委员会 LITE,4
最后的兔纸,4
搞笑囧图,4
美团团购-优惠美食美酒电影团购,4
热门壁纸,4
Sanlitun,4
淘宝,3
正点闹钟,3
Zoo World,3
QQ梦想城,3
墨迹天气(官方),3
Flashlight •,3
Haypi Dragon,3
爱聊免费电话免费短信,3
米途订酒店,3
乐视影视,3
疯狂的棺材,3
新黄金矿工:加勒比宝藏,3
美丽说-时尚女生逛淘宝必备,3
好大夫在线,3
新浪微盘 - 新浪官方出品,3
手机QQ浏览器,3
Fishing Joy,3
WeChat!,3
Alarm Clock Master Free,3
Qzone,3
Ringtone Master,3
Fruit Ninja Free,3
Cut the Rope: Experiments,3
掌上120,3
Happy 40 weeks of pregnancy,2
Toy Defense,2
逛淘宝-口袋购物 发现惊喜,2
Zombie Hunting,2
限时免费大全,2
淘宝彩票,2
ZAKER 最流行阅读软件,2
爱乐活 - 发现你对生活的热爱,2
QQ音乐,2
阿弥陀佛,2
人人,2
Let's Golf! ® 3,2
Tom's Love Letters,2
Brothers In Arms® 2: Global Front Free+,2
Escape The Ape,2
12306订票助手,2
Tui-Find great apps earlier,2
QQ通讯录-最快最方便的通讯录,2
Where's My Water?,2
SunnyPuppies,2
AllRingtone,2
QQ星乐团,2
CNTV中国网络电视台,2
软件游戏猎手-精品海量限时免费,2
爱卡汽车,2
春雨掌上医生,2
超强 经期跟踪器（科学、准确、纠错）,2
火花电视剧 - 最新最全的电视剧,2
宠物猎人,2
